Tipo de cuenta;Número;Saldo
FIC Sumar;001001130304;---

Fecha;Descripción;Valor
16 ago 2026;'Rendimientos';3114.7
15 ago 2026;'Rendimientos';3187.45
14 ago 2026;'Rendimientos';3700.13
13 ago 2026;'Rendimientos';3486.8
12 ago 2026;'Rendimientos';4463.1
11 ago 2026;'Rendimientos';2800.4
11 ago 2026;'Retiro';-113000
10 ago 2026;'Rendimientos';2659.05
09 ago 2026;'Rendimientos';3335.67
08 ago 2026;'Rendimientos';3232.98
07 ago 2026;'Rendimientos';3296.73
06 ago 2026;'Rendimientos';3009.93
05 ago 2026;'Rendimientos';3668.79
04 ago 2026;'Rendimientos';6762.47
03 ago 2026;'Rendimientos';4345.16
02 ago 2026;'Rendimientos';3280.16
01 ago 2026;'Rendimientos';3279.94
31 jul 2026;'Inversión';8215000
31 jul 2026;'Rendimientos';2662.98
30 jul 2026;'Inversión';230000
30 jul 2026;'Rendimientos';1740.65
29 jul 2026;'Rendimientos';1146.86
28 jul 2026;'Rendimientos';1287.52
27 jul 2026;'Rendimientos';954.56
26 jul 2026;'Rendimientos';1059.24
25 jul 2026;'Rendimientos';1070.04
24 jul 2026;'Rendimientos';1867.67
23 jul 2026;'Rendimientos';43.84
22 jul 2026;'Rendimientos';1157.34
21 jul 2026;'Rendimientos';402.85
20 jul 2026;'Rendimientos';1112.87
19 jul 2026;'Rendimientos';1099.8
18 jul 2026;'Rendimientos';1111.64
17 jul 2026;'Rendimientos';1572.99
16 jul 2026;'Rendimientos';956.53
